subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,4,0,0,0.5239524,0,0,1,1,0.2,1.0,0,0,0
268,4,0,0,0.8008533,0,0,1,1,0.2,2.0,1,-1,1
268,4,0,1,0.5392834,1,2,0,0,0.8,1.0,0,0,0
268,4,0,1,0.816042,2,2,1,2,0.8,2.0,0,0,0
268,4,0,2,0.9534072,0,0,1,1,0.5,1.0,0,0,0
268,4,0,2,0.5891774,0,0,1,2,0.5,2.0,1,-1,1
268,4,0,3,0.7523271,1,1,1,2,0.8,1.0,0,0,0
268,4,0,0,0.7957565,0,0,1,1,0.2,3.0,6,-1,2
268,4,0,3,0.7582304,1,1,1,2,0.8,2.0,2,-1,1
268,4,0,0,0.8179666,0,0,1,1,0.2,4.0,2,0,3
268,4,0,1,0.4439298,2,2,1,2,0.8,3.0,7,-1,1
268,4,0,2,1.1237494,0,0,1,1,0.5,3.0,6,-1,2
268,4,0,3,0.7052715,1,1,1,1,0.8,3.0,4,-1,2
268,4,0,2,0.8625635,0,0,1,1,0.5,4.0,2,0,3
268,4,0,0,0.8548787,0,0,1,2,0.2,5.0,5,0,4
268,4,0,3,0.4462345,1,1,1,2,0.8,4.0,3,0,3
268,4,0,0,0.6787958,0,0,1,1,0.2,6.0,2,0,5
268,4,0,1,0.8060206,2,2,1,2,0.8,4.0,7,-1,2
268,4,0,1,0.655711,2,2,1,1,0.8,5.0,1,0,3
268,4,0,2,0.6233711,0,0,1,1,0.5,5.0,6,0,4
268,4,0,2,0.6726632,0,0,1,1,0.5,6.0,1,0,5
268,4,0,3,0.4148667,1,1,1,2,0.8,5.0,6,0,4
268,4,0,3,0.5208145,1,1,1,2,0.8,6.0,1,0,5
268,4,0,0,0.6385249,0,0,1,1,0.2,7.0,7,0,6
268,4,0,0,0.4144615,0,0,1,1,0.2,8.0,1,0,7
268,4,0,1,0.6164733,2,2,1,2,0.8,6.0,7,0,4
268,4,0,1,0.4579434,2,2,1,2,0.8,7.0,1,0,5
268,4,0,2,0.6574224,0,0,1,2,0.5,7.0,7,0,6
268,4,0,2,0.5135831,0,0,1,2,0.5,8.0,1,0,7
268,4,0,3,0.5828444,1,1,1,1,0.8,7.0,7,0,6
268,4,0,0,0.5380114,0,0,1,1,0.2,9.0,6,1,8
268,4,0,1,0.5260737,2,2,1,2,0.8,8.0,5,0,6
268,4,0,1,0.6429825,2,2,1,2,0.8,9.0,1,1,7
268,4,0,2,0.6269961,0,0,1,2,0.5,9.0,5,1,8
268,4,0,3,0.6268412,1,1,1,2,0.8,8.0,5,0,7
