,block #,set size,overall stimulus id,image folder,image number,in block stim #,correct action #,correct key#,2/1 correct FB proba,CorrectFB value
0,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
1,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
2,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
3,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,1.0
4,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
5,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
6,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
7,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
8,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
9,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,2.0
10,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
11,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
12,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
13,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
14,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
15,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
16,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,2.0
17,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,2.0
18,1.0,2.0,2.0,18.0,1.0,2.0,3.0,13.0,0.2,1.0
19,1.0,2.0,1.0,18.0,2.0,1.0,2.0,14.0,0.8,1.0
20,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
21,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,2.0
22,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,1.0
23,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,1.0
24,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
25,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
26,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,2.0
27,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
28,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,2.0
29,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
30,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,2.0
31,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,1.0
32,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
33,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
34,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
35,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,1.0
36,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,1.0
37,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
38,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
39,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
40,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,2.0
41,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
42,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,1.0
43,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,2.0
44,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
45,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
46,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,1.0
47,2.0,3.0,5.0,11.0,3.0,3.0,2.0,14.0,0.5,1.0
48,2.0,3.0,3.0,11.0,1.0,1.0,1.0,15.0,0.8,2.0
49,2.0,3.0,4.0,11.0,5.0,2.0,1.0,15.0,0.2,2.0
50,4.0,5.0,12.0,10.0,3.0,5.0,3.0,13.0,0.8,2.0
51,4.0,5.0,8.0,10.0,6.0,1.0,1.0,15.0,0.8,2.0
52,4.0,5.0,9.0,10.0,2.0,2.0,2.0,14.0,0.2,1.0
53,4.0,5.0,9.0,10.0,2.0,2.0,2.0,14.0,0.2,1.0
54,4.0,5.0,12.0,10.0,3.0,5.0,3.0,13.0,0.8,2.0
55,4.0,5.0,11.0,10.0,1.0,4.0,3.0,13.0,0.2,1.0
56,4.0,5.0,11.0,10.0,1.0,4.0,3.0,13.0,0.2,1.0
57,4.0,5.0,8.0,10.0,6.0,1.0,1.0,15.0,0.8,1.0
